GRB	Time [UT]	Trigger Number	BAT RA (J2000)	BAT Dec (J2000)
130528A	16:41:23	556870	139.405	87.300
130527A	14:21:30	556753	309.282	-24.726
130521A	22:49:16	556344	87.568	14.470
130518B	10:50:38	556105|Ground Analysis|20282	321.555	-20.148
130518A	13:55:07.4	556113	355.671	47.478
130515A	01:21:17	555880	283.436	-54.283
130514A	07:13:41	555821	296.278	-7.974
130511A	11:30:47	555600	196.654	18.709
130508A	17:08:53	555413	305.351	34.966
130505A	08:22:28	555163	137.060	17.485
130504A	02:05:34	555096	272.459	-16.320
130502A	17:50:30	554996	138.579	-0.134
130427B	13:20:41	554635	314.900	-22.548
130427A	07:47:57	554620	173.150	27.706
130420B	12:56:31	553996	183.095	54.376
130420A	07:28:29	553977	196.118	59.421
130419A	13:30:29	553918	355.278	9.900
130418A	19:00:53	553847	149.045	13.674
130408A	21:51:38	553132	134.398	-32.363
130327A	01:47:34	552063	91.984	55.732
130315A	12:45:32	551126	157.541	-51.794
130313A	16:08:11	550906	236.438	-0.355
130306A	23:51:01	550457	279.475	-11.682
130305A	11:39:16	550329|Ground Analysis|20234	116.774	52.037
130216B	18:58:12	548918|Ground Analysis|20233	58.866	2.036
130216A	22:15:24	548927	67.901	14.670
130215A	01:31:30	548760	43.486	13.387
130211A	03:36:32	548276	147.524	-42.330
130206A	19:36:28	547918	140.387	-58.193
130131B	19:10:08	547420	173.957	15.033
130131A	13:56:22	547407	171.091	48.064
130122A	23:44:09	546731	194.307	59.003
130102A	18:10:53	544784	311.435	49.838
121229A	05:00:21	544347	190.095	-50.588
121226A	19:09:43	544027	168.620	-30.413
121217A	07:17:47	542441	153.708	-62.354
121212A	06:56:13	541371	177.787	78.052
121211A	13:47:02	541200	195.575	30.173
121209A	21:59:11	540964	326.800	-8.232
121202A	04:20:05	540255	256.790	23.942
121201A	12:25:42	540178	13.473	-42.929
121128A	05:05:37	539866	300.589	54.301
121125A	08:32:27	539563	228.519	55.318
121123A	10:02:41	539358	307.334	-11.873
121117A	08:50:56	538696	31.617	7.432
