trigger_name,name          ,lii     ,bii     ,trigger_type
bn161117066 ,GRB161117066  , 17.2459,-45.5810,GRB         
bn170914351 ,LOCLPAR1709143,299.0965, 33.1617,LOCLPAR     
bn121015868 ,TGF121015868  , 17.9076,-48.1943,TGF         
bn160526349 ,TGF160526349  ,232.5969,-81.8867,TGF         
bn180410526 ,TGF180410526  ,359.0032,  0.4156,TGF         
bn100306199 ,GRB100306199  ,326.0951, 29.2977,GRB         
bn110703557 ,GRB110703557  ,267.6996, 23.1318,GRB         
bn100616900 ,TGF100616900  ,295.9176, 33.2217,TGF         
bn180215689 ,LOCLPAR1802156,327.8686, 28.7202,LOCLPAR     
bn140901262 ,GRB140901262  ,243.0077, -5.5465,GRB         
bn091123298 ,GRB091123298  , 11.2809,-24.4309,GRB         
bn161220605 ,GRB161220605  ,255.7998, 13.0124,GRB         
bn180509237 ,LOCLPAR1805092,252.1619,  8.7335,LOCLPAR     
bn160122407 ,LOCLPAR1601224, 18.5984,-48.2250,LOCLPAR     
bn170130302 ,GRB170130302  ,  1.9000, -3.5945,GRB         
bn100617104 ,LOCLPAR1006171,252.8035,  9.6985,LOCLPAR     
bn101101899 ,GRB101101899  ,359.7788,  0.2390,GRB         
bn100517072 ,GRB100517072  ,238.4818,-14.3123,GRB         
bn090830696 ,LOCLPAR0908306,  7.6441,-14.8013,LOCLPAR     
bn160401065 ,GRB160401065  ,  9.3416,-18.6498,GRB         
bn090625623 ,LOCLPAR0906256, 17.4705,-82.5905,LOCLPAR     
bn110904163 ,GRB110904163  ,300.3342, 33.9721,GRB         
bn150916158 ,LOCLPAR1509161,243.3861, -3.9939,LOCLPAR     
bn170808281 ,TGF170808281  ,225.3853,-53.6395,TGF         
bn180516229 ,GRB180516229  ,  0.8304, -1.0184,GRB         
bn140312157 ,TRANSNT1403121,  0.0462,  0.3004,TRANSNT     
bn140312288 ,TRANSNT1403122,  0.0462,  0.3004,TRANSNT     
bn120830297 ,GRB120830297  ,234.0521,-24.3660,GRB         
bn160112561 ,LOCLPAR1601125,250.2203,-87.4006,LOCLPAR     
bn160416676 ,TGF160416676  ,233.6623,-25.3592,TGF         
bn150808890 ,LOCLPAR1508088,222.6458,-69.5520,LOCLPAR     
bn140701567 ,GRB140701567  , 23.3033,-71.0414,GRB         
bn151216210 ,LOCLPAR1512162,328.1375, 29.3468,LOCLPAR     
bn110731465 ,GRB110731465  ,  6.2233,-10.7021,GRB         
bn160709826 ,GRB160709826  ,342.9745, 20.6161,GRB         
bn090621417 ,GRB090621417  ,356.0573,  6.7732,GRB         
bn170114833 ,GRB170114833  ,255.2142, 13.4246,GRB         
bn160221993 ,GRB160221993  ,340.0634, 22.9038,GRB         
bn101012221 ,UNCERT10101222,343.1206, 20.5863,UNCERT      
bn090509215 ,GRB090509215  ,346.6725, 17.5452,GRB         
bn151224927 ,LOCLPAR1512249,292.8827, 33.7464,LOCLPAR     
bn180420031 ,GRB180420031  ,235.2742,-20.0961,GRB         
bn150826605 ,LOCLPAR1508266,222.1969,-65.0125,LOCLPAR     
bn160101264 ,DISTPAR1601012,269.3403, 25.4259,DISTPAR     
bn101214748 ,GRB101214748  , 24.0690,-79.1695,GRB         
bn170906039 ,GRB170906039  ,340.2735, 22.9785,GRB         
bn141022874 ,TGF141022874  , 24.4572,-77.9474,TGF         
bn170829414 ,GRB170829414  , 23.0377,-61.0392,GRB         
bn090418816 ,GRB090418816  ,358.9312,  3.0698,GRB         
bn121029350 ,GRB121029350  ,336.0374, 25.8148,GRB         
bn100326294 ,GRB100326294  ,251.1804,  9.0650,GRB         
bn131102622 ,GRB131102622  ,229.0919,-36.3124,GRB         
bn081101532 ,GRB081101532  ,318.3836, 33.1085,GRB         
bn160729862 ,LOCLPAR1607298,251.3695,  9.6009,LOCLPAR     
bn150430015 ,GRB150430015  , 20.7187,-49.1120,GRB         
